farm_id,farm_name,farm_type,cow_id,animal_id,date,milk_yield_l,rumination_min,activity_rate,eating_min,standing_min,resting_min,data_collection_rate_pct,group_id,parity,days_in_milk,insemination_flag,pregnancy_status,data_source,productivity_class_demo
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-07,22.74,328.04,61.81,292.85,315.44,813.9,92.93,FARM-01-PEN-01,4,124,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-08,23.6,314.77,51.66,249.83,326.14,866.86,90.52,FARM-01-PEN-01,4,125,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-09,23.71,313.98,53.89,277.31,309.67,870.71,92.51,FARM-01-PEN-01,4,126,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-10,24.44,310.53,62.33,239.06,322.91,861.78,94.77,FARM-01-PEN-01,4,127,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-11,22.84,316.8,50.68,255.57,301.54,860.83,99.63,FARM-01-PEN-01,4,128,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-12,23.4,317.32,52.17,251.09,334.26,858.59,96.41,FARM-01-PEN-01,4,129,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-13,25.47,330.99,52.73,227.18,288.93,900.0,94.14,FARM-01-PEN-01,4,130,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-14,23.73,328.77,47.05,230.18,325.73,876.98,96.15,FARM-01-PEN-01,4,131,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-15,23.48,327.39,51.55,251.38,279.1,900.0,92.75,FARM-01-PEN-01,4,132,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-16,23.08,307.88,54.85,223.0,315.72,892.56,96.72,FARM-01-PEN-01,4,133,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-17,24.0,327.38,50.86,233.05,310.47,900.0,95.46,FARM-01-PEN-01,4,134,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-18,22.95,316.35,62.07,271.84,298.0,864.99,96.09,FARM-01-PEN-01,4,135,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-19,23.17,329.03,49.73,237.56,273.49,900.0,100.0,FARM-01-PEN-01,4,136,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-20,25.76,311.33,49.79,247.79,278.61,887.2,92.14,FARM-01-PEN-01,4,137,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-21,25.72,339.23,65.44,234.02,301.67,900.0,94.52,FARM-01-PEN-01,4,138,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-22,23.86,328.13,55.85,246.44,305.02,863.79,95.86,FARM-01-PEN-01,4,139,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-23,24.07,313.2,56.0,266.44,310.11,869.78,93.19,FARM-01-PEN-01,4,140,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-24,23.53,322.2,53.43,281.03,335.84,830.07,95.94,FARM-01-PEN-01,4,141,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-25,24.47,304.8,58.06,252.93,317.99,837.67,92.1,FARM-01-PEN-01,4,142,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-26,23.48,310.24,53.7,247.73,306.14,884.27,99.33,FARM-01-PEN-01,4,143,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-27,21.61,285.04,51.05,247.35,318.22,867.73,100.0,FARM-01-PEN-01,4,144,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-28,22.97,295.22,54.93,238.34,313.33,869.38,96.84,FARM-01-PEN-01,4,145,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-29,24.58,331.03,55.89,248.43,345.87,853.6,93.26,FARM-01-PEN-01,4,146,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-30,24.52,322.71,46.47,253.37,311.82,895.89,90.81,FARM-01-PEN-01,4,147,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2025-12-31,22.68,311.65,46.79,235.61,341.0,874.87,91.8,FARM-01-PEN-01,4,148,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-01,23.88,306.27,53.24,261.45,323.73,813.58,99.73,FARM-01-PEN-01,4,149,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-02,23.79,292.42,50.28,255.49,283.44,900.0,97.49,FARM-01-PEN-01,4,150,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-03,23.82,329.23,54.23,252.52,314.3,857.64,98.01,FARM-01-PEN-01,4,151,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-04,24.03,306.8,53.32,272.22,295.06,857.92,98.93,FARM-01-PEN-01,4,152,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-05,22.09,329.02,57.48,259.83,348.35,828.13,95.51,FARM-01-PEN-01,4,153,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-06,24.29,334.09,47.7,233.83,279.2,900.0,91.25,FARM-01-PEN-01,4,154,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-07,23.24,292.78,54.04,244.09,316.24,892.31,96.69,FARM-01-PEN-01,4,155,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-08,23.91,309.37,52.58,251.98,323.98,856.95,97.53,FARM-01-PEN-01,4,156,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-09,23.72,293.2,47.46,225.63,270.21,900.0,98.26,FARM-01-PEN-01,4,157,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-10,23.43,328.66,51.72,264.3,314.64,845.99,94.21,FARM-01-PEN-01,4,158,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-11,23.74,321.4,58.36,223.17,321.32,876.79,97.81,FARM-01-PEN-01,4,159,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-12,22.92,304.85,49.05,226.7,303.66,900.0,98.91,FARM-01-PEN-01,4,160,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-13,23.78,307.79,45.28,257.47,309.34,893.25,100.0,FARM-01-PEN-01,4,161,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-14,23.99,335.66,51.75,245.38,333.35,846.05,92.88,FARM-01-PEN-01,4,162,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-15,24.57,295.99,43.7,228.72,304.94,900.0,96.18,FARM-01-PEN-01,4,163,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-16,24.27,310.97,51.51,249.65,322.18,862.07,100.0,FARM-01-PEN-01,4,164,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-17,23.39,319.76,59.03,250.47,319.76,868.75,92.83,FARM-01-PEN-01,4,165,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-18,23.52,326.11,58.16,256.17,303.11,888.89,94.27,FARM-01-PEN-01,4,166,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-19,21.95,297.13,48.13,271.49,323.13,832.42,100.0,FARM-01-PEN-01,4,167,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-20,23.92,324.29,51.87,258.55,279.91,896.19,96.17,FARM-01-PEN-01,4,168,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-21,22.84,326.14,51.07,263.82,336.82,821.9,99.14,FARM-01-PEN-01,4,169,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-22,23.05,312.3,59.12,251.04,314.09,900.0,96.48,FARM-01-PEN-01,4,170,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-23,22.15,297.99,55.2,239.22,331.48,826.2,95.9,FARM-01-PEN-01,4,171,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-24,23.79,311.78,50.98,242.52,316.59,862.74,96.77,FARM-01-PEN-01,4,172,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-25,22.39,315.72,59.61,241.81,309.0,875.62,93.77,FARM-01-PEN-01,4,173,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-26,22.67,288.07,47.5,238.42,316.08,871.72,93.38,FARM-01-PEN-01,4,174,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-27,21.07,304.17,48.54,212.75,313.98,900.0,98.95,FARM-01-PEN-01,4,175,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-28,22.27,312.77,47.06,239.8,271.99,900.0,100.0,FARM-01-PEN-01,4,176,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-29,21.91,287.01,45.25,239.7,341.37,836.93,94.02,FARM-01-PEN-01,4,177,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-30,21.92,283.42,44.12,232.38,302.12,900.0,93.59,FARM-01-PEN-01,4,178,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-01-31,22.63,317.93,47.39,231.48,319.07,900.0,92.31,FARM-01-PEN-01,4,179,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-01,22.99,307.69,44.72,248.81,293.95,874.14,99.27,FARM-01-PEN-01,4,180,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-02,21.76,300.89,50.84,247.23,296.47,900.0,99.02,FARM-01-PEN-01,4,181,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-03,20.28,294.17,41.06,266.55,352.25,813.91,94.41,FARM-01-PEN-01,4,182,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-04,22.76,302.92,45.97,250.73,317.38,844.99,95.69,FARM-01-PEN-01,4,183,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-05,21.92,299.88,49.33,249.51,279.08,900.0,94.72,FARM-01-PEN-01,4,184,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-06,23.74,337.4,48.23,255.43,314.5,854.42,94.3,FARM-01-PEN-01,4,185,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-07,21.14,298.04,51.93,231.81,304.59,900.0,96.56,FARM-01-PEN-01,4,186,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-08,21.83,309.74,41.22,254.37,316.8,855.98,96.19,FARM-01-PEN-01,4,187,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-09,24.12,341.51,52.87,247.69,309.84,897.18,93.75,FARM-01-PEN-01,4,188,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-10,22.51,309.95,49.27,253.49,339.15,839.1,94.52,FARM-01-PEN-01,4,189,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-11,22.21,326.26,42.47,231.16,298.24,868.83,94.65,FARM-01-PEN-01,4,190,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-12,22.22,329.45,51.02,229.97,309.61,900.0,96.77,FARM-01-PEN-01,4,191,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-13,22.99,316.24,55.24,246.78,321.23,853.36,91.8,FARM-01-PEN-01,4,192,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-14,23.87,302.95,56.04,244.09,289.15,900.0,91.02,FARM-01-PEN-01,4,193,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-15,22.03,311.52,59.66,254.96,319.26,845.26,95.37,FARM-01-PEN-01,4,194,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-16,23.99,325.57,53.36,255.86,310.16,887.98,88.92,FARM-01-PEN-01,4,195,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-17,24.16,330.64,58.86,237.16,274.65,900.0,96.66,FARM-01-PEN-01,4,196,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-18,24.81,314.49,50.25,251.05,302.88,867.79,98.39,FARM-01-PEN-01,4,197,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-19,23.47,306.95,56.72,258.36,317.33,886.8,96.99,FARM-01-PEN-01,4,198,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-20,24.49,319.34,45.51,248.18,301.49,867.29,99.02,FARM-01-PEN-01,4,199,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-21,23.25,316.65,57.4,244.98,316.58,858.75,91.56,FARM-01-PEN-01,4,200,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-22,23.2,311.82,51.16,268.95,330.14,841.11,94.64,FARM-01-PEN-01,4,201,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-23,22.82,299.5,50.58,231.36,293.17,900.0,94.87,FARM-01-PEN-01,4,202,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-24,22.15,322.78,55.42,256.88,315.86,852.05,96.27,FARM-01-PEN-01,4,203,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-25,23.28,326.82,55.87,241.16,292.51,900.0,93.59,FARM-01-PEN-01,4,204,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-26,22.88,316.62,49.98,235.76,318.5,878.5,92.02,FARM-01-PEN-01,4,205,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-27,22.76,310.13,58.4,230.24,274.03,900.0,94.88,FARM-01-PEN-01,4,206,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-02-28,22.64,330.86,42.61,254.85,337.02,827.83,92.71,FARM-01-PEN-01,4,207,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-03-01,23.26,315.0,59.53,277.35,302.24,894.71,94.95,FARM-01-PEN-01,4,208,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-03-02,24.29,320.89,55.57,297.63,322.36,807.28,93.84,FARM-01-PEN-01,4,209,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-03-03,23.51,329.6,54.23,255.86,307.62,882.57,97.08,FARM-01-PEN-01,4,210,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-03-04,23.34,307.65,48.05,250.05,309.63,867.84,94.07,FARM-01-PEN-01,4,211,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-001,FARM-01-COW-001,2026-03-05,22.87,310.71,53.11,253.16,291.8,900.0,89.73,FARM-01-PEN-01,4,212,0,pregnant,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-21,21.22,294.93,59.57,280.18,311.88,802.9,91.66,FARM-01-PEN-01,1,66,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-22,21.76,304.33,59.22,259.94,336.21,831.69,88.92,FARM-01-PEN-01,1,67,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-23,24.53,314.66,60.0,264.04,344.3,820.46,89.65,FARM-01-PEN-01,1,68,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-24,22.11,311.86,55.57,256.3,322.56,871.13,96.46,FARM-01-PEN-01,1,69,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-25,22.78,327.16,62.0,286.76,282.47,865.04,91.62,FARM-01-PEN-01,1,70,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-26,22.82,308.44,67.12,263.72,323.63,848.47,94.48,FARM-01-PEN-01,1,71,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-27,22.95,321.96,65.66,268.88,328.12,822.28,95.65,FARM-01-PEN-01,1,72,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-28,22.41,309.54,61.96,269.32,340.6,835.28,85.02,FARM-01-PEN-01,1,73,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-29,21.24,309.73,43.17,235.27,329.16,884.16,97.06,FARM-01-PEN-01,1,74,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-11-30,22.59,298.62,66.21,258.32,329.79,881.0,92.92,FARM-01-PEN-01,1,75,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-01,22.53,302.87,51.49,253.7,310.31,892.63,92.92,FARM-01-PEN-01,1,76,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-02,22.14,305.77,59.42,242.99,305.04,900.0,94.46,FARM-01-PEN-01,1,77,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-03,23.14,309.24,51.12,261.65,335.55,849.54,94.15,FARM-01-PEN-01,1,78,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-04,23.71,302.05,55.83,272.62,347.25,852.43,94.21,FARM-01-PEN-01,1,79,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-05,22.15,315.76,58.9,264.14,333.97,840.82,95.0,FARM-01-PEN-01,1,80,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-06,23.24,308.94,60.43,274.07,311.14,868.39,97.26,FARM-01-PEN-01,1,81,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-07,22.33,304.69,52.97,251.12,298.38,891.44,94.96,FARM-01-PEN-01,1,82,0,open,bootstrap/demo,medium
FARM-01,Danone Anchor Farm,Anchor,FARM-01-COW-002,FARM-01-COW-002,2025-12-08,22.61,314.88,61.14,273.03,326.42,802.6,93.32,FARM-01-PEN-01,1,83,0,open,bootstrap/demo,medium
